Gene stable ID,Transcript stable ID,Gene start (bp),Gene end (bp)
ENSGALG00000047186,ENSGALT00000102615,74855997,74867290
ENSGALG00000047541,ENSGALT00000094192,74714279,74715797
ENSGALG00000034587,ENSGALT00000090898,74612334,74832219
ENSGALG00000034587,ENSGALT00000056270,74612334,74832219
ENSGALG00000049387,ENSGALT00000098639,74439915,74443893
ENSGALG00000049387,ENSGALT00000092497,74439915,74443893
ENSGALG00000048970,ENSGALT00000096994,74349100,74358440
ENSGALG00000050236,ENSGALT00000092128,73852131,73858707
ENSGALG00000046901,ENSGALT00000091928,73302771,73359956
ENSGALG00000053011,ENSGALT00000094296,71085196,71090554
ENSGALG00000053011,ENSGALT00000094002,71085196,71090554
ENSGALG00000050032,ENSGALT00000097221,70594485,70607265
ENSGALG00000048793,ENSGALT00000104362,70519894,70525123
ENSGALG00000051108,ENSGALT00000093753,69717062,69731420
ENSGALG00000052817,ENSGALT00000100425,69303469,69317392
ENSGALG00000028471,ENSGALT00000061915,16131319,16133848
ENSGALG00000045228,ENSGALT00000087385,16130010,16131928
ENSGALG00000032273,ENSGALT00000051780,16112592,16128910
ENSGALG00000008614,ENSGALT00000014035,16096879,16112242
ENSGALG00000048161,ENSGALT00000091366,81087303,81091366
ENSGALG00000047107,ENSGALT00000104081,81054942,81062742
ENSGALG00000047107,ENSGALT00000099082,81054942,81062742
ENSGALG00000047107,ENSGALT00000102845,81054942,81062742
ENSGALG00000055100,ENSGALT00000099382,80988951,80998701
ENSGALG00000055100,ENSGALT00000102465,80988951,80998701
ENSGALG00000047700,ENSGALT00000097406,80241064,80256818
ENSGALG00000047700,ENSGALT00000100897,80241064,80256818
ENSGALG00000041312,ENSGALT00000082244,80106902,80199236
ENSGALG00000041312,ENSGALT00000098044,80106902,80199236
ENSGALG00000041312,ENSGALT00000106808,80106902,80199236
ENSGALG00000053660,ENSGALT00000091458,79860227,79908681
ENSGALG00000052281,ENSGALT00000107694,79684829,79690853
ENSGALG00000054346,ENSGALT00000093072,79651891,79669373
ENSGALG00000054346,ENSGALT00000097851,79651891,79669373
ENSGALG00000050812,ENSGALT00000095875,79424192,79431838
ENSGALG00000050812,ENSGALT00000106486,79424192,79431838
ENSGALG00000050812,ENSGALT00000095214,79424192,79431838
ENSGALG00000016536,ENSGALT00000026684,104913067,104937303
ENSGALG00000013993,ENSGALT00000076033,56889501,56916337
ENSGALG00000013993,ENSGALT00000056157,56889501,56916337
ENSGALG00000013993,ENSGALT00000022671,56889501,56916337
ENSGALG00000013993,ENSGALT00000022669,56889501,56916337
ENSGALG00000001661,ENSGALT00000002535,16081562,16095818
ENSGALG00000048459,ENSGALT00000092256,104904767,104912223
ENSGALG00000016535,ENSGALT00000036791,104865999,104903427
ENSGALG00000008627,ENSGALT00000101288,15979242,16071844
ENSGALG00000008627,ENSGALT00000105072,15979242,16071844
ENSGALG00000008627,ENSGALT00000097020,15979242,16071844
ENSGALG00000008627,ENSGALT00000014055,15979242,16071844
ENSGALG00000052440,ENSGALT00000104372,19718178,19745297
ENSGALG00000019961,ENSGALT00000031763,56867709,56881574
ENSGALG00000047660,ENSGALT00000104656,19689945,19692903
ENSGALG00000024890,ENSGALT00000041803,56860984,56861056
ENSGALG00000049619,ENSGALT00000100587,19618406,19641933
ENSGALG00000055063,ENSGALT00000103161,19367086,19382333
ENSGALG00000047278,ENSGALT00000098617,19330753,19335840
ENSGALG00000047278,ENSGALT00000098401,19330753,19335840
ENSGALG00000051934,ENSGALT00000100781,19275637,19277253
ENSGALG00000051934,ENSGALT00000107173,19275637,19277253
ENSGALG00000051126,ENSGALT00000095148,19271681,19276454
ENSGALG00000051126,ENSGALT00000107998,19271681,19276454
ENSGALG00000047985,ENSGALT00000090830,19007786,19015348
ENSGALG00000053755,ENSGALT00000105572,18670788,18682168
ENSGALG00000053880,ENSGALT00000092084,18587590,18590550
ENSGALG00000053049,ENSGALT00000101803,18485654,18493024
ENSGALG00000052742,ENSGALT00000102277,18188247,18289111
ENSGALG00000052742,ENSGALT00000106896,18188247,18289111
ENSGALG00000053976,ENSGALT00000107894,56859648,56859747
ENSGALG00000025337,ENSGALT00000042250,56859598,56859684
ENSGALG00000008632,ENSGALT00000014068,15944552,15976454
ENSGALG00000025541,ENSGALT00000042454,56859181,56859317
ENSGALG00000025282,ENSGALT00000042195,56858367,56858451
ENSGALG00000047238,ENSGALT00000090761,100889753,100910258
ENSGALG00000054295,ENSGALT00000092486,100604810,100633515
ENSGALG00000054295,ENSGALT00000095707,100604810,100633515
ENSGALG00000054651,ENSGALT00000093332,99747694,99757821
ENSGALG00000051710,ENSGALT00000090420,99682926,99688876
ENSGALG00000048918,ENSGALT00000096145,99515681,99539592
ENSGALG00000049717,ENSGALT00000098559,99459236,99474025
ENSGALG00000049717,ENSGALT00000094263,99459236,99474025
ENSGALG00000054255,ENSGALT00000102097,99280543,99391317
ENSGALG00000033579,ENSGALT00000097744,99105783,99208450
ENSGALG00000033579,ENSGALT00000055845,99105783,99208450
ENSGALG00000033579,ENSGALT00000098180,99105783,99208450
ENSGALG00000054842,ENSGALT00000091656,98972185,98975666
ENSGALG00000053117,ENSGALT00000104116,78428297,78438136
ENSGALG00000050740,ENSGALT00000100413,77304650,77306947
ENSGALG00000050388,ENSGALT00000090520,78977351,78979075
ENSGALG00000049922,ENSGALT00000093404,78726978,78779929
ENSGALG00000049922,ENSGALT00000107506,78726978,78779929
ENSGALG00000047678,ENSGALT00000104142,78669479,78688705
ENSGALG00000051257,ENSGALT00000106958,78559642,78564942
ENSGALG00000051257,ENSGALT00000108117,78559642,78564942
