Gene stable ID,Transcript stable ID,Exon stable ID
ENSMUSG00000102628,ENSMUST00000193198,ENSMUSE00001342333
ENSMUSG00000100595,ENSMUST00000191430,ENSMUSE00001324949
ENSMUSG00000097426,ENSMUST00000181451,ENSMUSE00001158900
ENSMUSG00000097426,ENSMUST00000181451,ENSMUSE00001115039
ENSMUSG00000104478,ENSMUST00000194081,ENSMUSE00001337335
ENSMUSG00000104385,ENSMUST00000194393,ENSMUSE00001339893
ENSMUSG00000086053,ENSMUST00000132100,ENSMUSE00000831723
ENSMUSG00000086053,ENSMUST00000132100,ENSMUSE00000827648
ENSMUSG00000101231,ENSMUST00000185509,ENSMUSE00001325295
ENSMUSG00000102135,ENSMUST00000194605,ENSMUSE00001339810
ENSMUSG00000102135,ENSMUST00000194605,ENSMUSE00001343179
ENSMUSG00000103282,ENSMUST00000191703,ENSMUSE00001337469
ENSMUSG00000101097,ENSMUST00000191467,ENSMUSE00001335952
ENSMUSG00000100764,ENSMUST00000186289,ENSMUSE00001334242
ENSMUSG00000100764,ENSMUST00000186289,ENSMUSE00001327336
ENSMUSG00000100764,ENSMUST00000185910,ENSMUSE00001328607
ENSMUSG00000102095,ENSMUST00000188305,ENSMUSE00001321121
ENSMUSG00000102095,ENSMUST00000188305,ENSMUSE00001327718
ENSMUSG00000102095,ENSMUST00000188305,ENSMUSE00001324374
ENSMUSG00000102095,ENSMUST00000188305,ENSMUSE00001326362
ENSMUSG00000102095,ENSMUST00000188305,ENSMUSE00001328145
ENSMUSG00000102534,ENSMUST00000193423,ENSMUSE00001337169
ENSMUSG00000100831,ENSMUST00000188261,ENSMUSE00001322896
ENSMUSG00000100884,ENSMUST00000185658,ENSMUSE00001329129
ENSMUSG00000100635,ENSMUST00000188753,ENSMUSE00001323371
ENSMUSG00000102213,ENSMUST00000191883,ENSMUSE00001341158
ENSMUSG00000100480,ENSMUST00000187764,ENSMUSE00001326783
ENSMUSG00000089037,ENSMUST00000158412,ENSMUSE00000847547
ENSMUSG00000103629,ENSMUST00000195648,ENSMUSE00001343950
ENSMUSG00000103629,ENSMUST00000195648,ENSMUSE00001341617
ENSMUSG00002076531,ENSMUST00020182710,ENSMUSE00011469536
ENSMUSG00000100025,ENSMUST00000190856,ENSMUSE00001323378
ENSMUSG00000051285,ENSMUST00000061280,ENSMUSE00000630850
ENSMUSG00000051285,ENSMUST00000061280,ENSMUSE00000553965
ENSMUSG00000051285,ENSMUST00000061280,ENSMUSE00001273110
ENSMUSG00000051285,ENSMUST00000061280,ENSMUSE00001268642
ENSMUSG00000051285,ENSMUST00000061280,ENSMUSE00001298878
ENSMUSG00000051285,ENSMUST00000061280,ENSMUSE00000466061
ENSMUSG00000051285,ENSMUST00000182114,ENSMUSE00001298878
ENSMUSG00000051285,ENSMUST00000182114,ENSMUSE00001308654
ENSMUSG00000051285,ENSMUST00000182114,ENSMUSE00001253077
ENSMUSG00000051285,ENSMUST00000182114,ENSMUSE00001223410
ENSMUSG00000051285,ENSMUST00000182114,ENSMUSE00001252495
ENSMUSG00000051285,ENSMUST00000182306,ENSMUSE00001253077
ENSMUSG00000051285,ENSMUST00000182306,ENSMUSE00001265903
ENSMUSG00000051285,ENSMUST00000182306,ENSMUSE00001211304
ENSMUSG00000051285,ENSMUST00000182306,ENSMUSE00001472947
ENSMUSG00000051285,ENSMUST00000182823,ENSMUSE00001289349
ENSMUSG00000051285,ENSMUST00000182823,ENSMUSE00001270443
ENSMUSG00000051285,ENSMUST00000182675,ENSMUSE00001273110
ENSMUSG00000051285,ENSMUST00000182675,ENSMUSE00001218420
ENSMUSG00000051285,ENSMUST00000182675,ENSMUSE00001237796
ENSMUSG00000051285,ENSMUST00000182675,ENSMUSE00001304350
ENSMUSG00000051285,ENSMUST00000182675,ENSMUSE00001292206
ENSMUSG00000051285,ENSMUST00000182388,ENSMUSE00001237796
ENSMUSG00000051285,ENSMUST00000182388,ENSMUSE00001304350
ENSMUSG00000051285,ENSMUST00000182388,ENSMUSE00001250313
ENSMUSG00000051285,ENSMUST00000182892,ENSMUSE00001304350
ENSMUSG00000051285,ENSMUST00000182892,ENSMUSE00001305909
ENSMUSG00000051285,ENSMUST00000182892,ENSMUSE00001209446
ENSMUSG00000051285,ENSMUST00000183204,ENSMUSE00001304350
ENSMUSG00000051285,ENSMUST00000183204,ENSMUSE00001225532
ENSMUSG00000051285,ENSMUST00000183204,ENSMUSE00001278327
ENSMUSG00000051285,ENSMUST00000183204,ENSMUSE00001259162
ENSMUSG00000098201,ENSMUST00000182051,ENSMUSE00001229435
ENSMUSG00000103509,ENSMUST00000194854,ENSMUSE00001339503
ENSMUSG00000048538,ENSMUST00000029124,ENSMUSE00000501172
ENSMUSG00000103709,ENSMUST00000195269,ENSMUSE00001340227
ENSMUSG00000077244,ENSMUST00000104056,ENSMUSE00000664209
ENSMUSG00000102768,ENSMUST00000192649,ENSMUSE00001344861
ENSMUSG00000097797,ENSMUST00000181554,ENSMUSE00001116424
ENSMUSG00000097797,ENSMUST00000181554,ENSMUSE00001152541
ENSMUSG00000097797,ENSMUST00000181554,ENSMUSE00001181027
ENSMUSG00000097797,ENSMUST00000193106,ENSMUSE00001345075
ENSMUSG00000097797,ENSMUST00000193106,ENSMUSE00001340075
ENSMUSG00000097797,ENSMUST00000193106,ENSMUSE00001336592
ENSMUSG00000097797,ENSMUST00000193732,ENSMUSE00001340075
ENSMUSG00000097797,ENSMUST00000193732,ENSMUSE00001342764
ENSMUSG00000097797,ENSMUST00000193732,ENSMUSE00001336902
ENSMUSG00000097797,ENSMUST00000193732,ENSMUSE00001345056
ENSMUSG00000097797,ENSMUST00000193732,ENSMUSE00001342852
ENSMUSG00000097797,ENSMUST00000193428,ENSMUSE00001341418
ENSMUSG00000103498,ENSMUST00000193998,ENSMUSE00001345188
ENSMUSG00000103498,ENSMUST00000193998,ENSMUSE00001339274
ENSMUSG00000103067,ENSMUST00000194886,ENSMUSE00001344143
ENSMUSG00000103067,ENSMUST00000194886,ENSMUSE00001340539
ENSMUSG00000103067,ENSMUST00000194886,ENSMUSE00001339812
ENSMUSG00000102320,ENSMUST00000195081,ENSMUSE00001346220
ENSMUSG00000104226,ENSMUST00000194219,ENSMUSE00001338294
ENSMUSG00000103903,ENSMUST00000194305,ENSMUSE00001339509
ENSMUSG00000103557,ENSMUST00000194872,ENSMUSE00001340185
ENSMUSG00000103557,ENSMUST00000194872,ENSMUSE00001337150
ENSMUSG00000026312,ENSMUST00000137092,ENSMUSE00000809396
ENSMUSG00000026312,ENSMUST00000137092,ENSMUSE00000835765
ENSMUSG00000026312,ENSMUST00000137092,ENSMUSE00000806074
ENSMUSG00000026312,ENSMUST00000137092,ENSMUSE00000436423
ENSMUSG00000026312,ENSMUST00000137092,ENSMUSE00000816358
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00000436423
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00000692793
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00001155903
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00001292496
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00001273918
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00001215326
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00001213973
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00001308842
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00001252752
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00001243282
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00001218410
ENSMUSG00000026312,ENSMUST00000112701,ENSMUSE00001254939
