Gene stable ID,Transcript stable ID,Gene start (bp),Gene end (bp)
ENSMUSG00000102846,ENSMUST00000193165,68240529,68241113
ENSMUSG00000070342,ENSMUST00000180599,148927323,148931381
ENSMUSG00000070342,ENSMUST00000093950,148927323,148931381
ENSMUSG00000097515,ENSMUST00000181305,94316702,94320226
ENSMUSG00000103345,ENSMUST00000195366,68315116,68322033
ENSMUSG00000106515,ENSMUST00000199007,148990055,149150938
ENSMUSG00000106515,ENSMUST00000196330,148990055,149150938
ENSMUSG00000106515,ENSMUST00000199503,148990055,149150938
ENSMUSG00000084617,ENSMUST00000122668,68454853,68455041
ENSMUSG00000105797,ENSMUST00000199980,149010466,149051477
ENSMUSG00000105797,ENSMUST00000199768,149010466,149051477
ENSMUSG00000037531,ENSMUST00000043966,32779546,32791754
ENSMUSG00000037531,ENSMUST00000153564,32779546,32791754
ENSMUSG00000037531,ENSMUST00000192021,32779546,32791754
ENSMUSG00000089269,ENSMUST00000158644,149046540,149046645
ENSMUSG00000104785,ENSMUST00000197948,149268519,149366033
ENSMUSG00000047676,ENSMUST00000057740,149778295,149779179
ENSMUSG00000105779,ENSMUST00000199849,150220857,150221718
ENSMUSG00000105190,ENSMUST00000196175,150294376,150317813
ENSMUSG00000105190,ENSMUST00000198573,150294376,150317813
ENSMUSG00000092830,ENSMUST00000175089,150729429,150729499
ENSMUSG00000105125,ENSMUST00000199769,150777024,150780195
ENSMUSG00000105425,ENSMUST00000196084,150797771,150802404
ENSMUSG00000104816,ENSMUST00000200442,150823559,150829555
ENSMUSG00000106157,ENSMUST00000196524,150999763,151002278
ENSMUSG00000106157,ENSMUST00000196052,150999763,151002278
ENSMUSG00000106157,ENSMUST00000197810,150999763,151002278
ENSMUSG00000106157,ENSMUST00000196589,150999763,151002278
ENSMUSG00000105401,ENSMUST00000197054,151038986,151043275
ENSMUSG00000027776,ENSMUST00000107816,68597977,68605880
ENSMUSG00000027776,ENSMUST00000195408,68597977,68605880
ENSMUSG00000027776,ENSMUST00000191910,68597977,68605880
ENSMUSG00000027776,ENSMUST00000192812,68597977,68605880
ENSMUSG00000027776,ENSMUST00000195517,68597977,68605880
ENSMUSG00000027776,ENSMUST00000029345,68597977,68605880
ENSMUSG00000058360,ENSMUST00000080726,68640470,68645410
ENSMUSG00000102677,ENSMUST00000194463,68667239,68668766
ENSMUSG00000102936,ENSMUST00000191767,68668828,68670000
ENSMUSG00000102853,ENSMUST00000195818,68753412,68754736
ENSMUSG00000103218,ENSMUST00000195850,68753412,68754739
ENSMUSG00000091272,ENSMUST00000215570,68775250,68777599
ENSMUSG00000091272,ENSMUST00000166328,68775250,68777599
ENSMUSG00000046999,ENSMUST00000054551,68776919,68779496
ENSMUSG00000039167,ENSMUST00000046977,151143524,151250723
ENSMUSG00000039167,ENSMUST00000238382,151143524,151250723
ENSMUSG00000039167,ENSMUST00000196970,151143524,151250723
ENSMUSG00000039167,ENSMUST00000155652,151143524,151250723
ENSMUSG00000039167,ENSMUST00000141038,151143524,151250723
ENSMUSG00000039167,ENSMUST00000238268,151143524,151250723
ENSMUSG00000039167,ENSMUST00000238194,151143524,151250723
ENSMUSG00000039167,ENSMUST00000129283,151143524,151250723
ENSMUSG00000039167,ENSMUST00000198893,151143524,151250723
ENSMUSG00000027673,ENSMUST00000127477,32791139,32805715
ENSMUSG00000027673,ENSMUST00000121778,32791139,32805715
ENSMUSG00000027673,ENSMUST00000195565,32791139,32805715
ENSMUSG00000027673,ENSMUST00000029217,32791139,32805715
ENSMUSG00000027673,ENSMUST00000156174,32791139,32805715
ENSMUSG00000027673,ENSMUST00000154257,32791139,32805715
ENSMUSG00000027673,ENSMUST00000139593,32791139,32805715
ENSMUSG00000027673,ENSMUST00000122290,32791139,32805715
ENSMUSG00000118687,ENSMUST00000240060,151313980,151314086
ENSMUSG00000054414,ENSMUST00000198571,115732622,115801055
ENSMUSG00000054414,ENSMUST00000067485,115732622,115801055
ENSMUSG00000054414,ENSMUST00000197847,115732622,115801055
ENSMUSG00000054414,ENSMUST00000197333,115732622,115801055
ENSMUSG00000028037,ENSMUST00000029671,151436559,151455597
ENSMUSG00000028037,ENSMUST00000149919,151436559,151455597
ENSMUSG00000028037,ENSMUST00000133888,151436559,151455597
ENSMUSG00000028037,ENSMUST00000127733,151436559,151455597
ENSMUSG00000089261,ENSMUST00000158636,115773551,115773604
ENSMUSG00000039146,ENSMUST00000046739,151464374,151468529
ENSMUSG00000041912,ENSMUST00000166032,94320580,94341975
ENSMUSG00000041912,ENSMUST00000197876,94320580,94341975
ENSMUSG00000041912,ENSMUST00000200486,94320580,94341975
ENSMUSG00000041912,ENSMUST00000196386,94320580,94341975
ENSMUSG00000041912,ENSMUST00000197901,94320580,94341975
ENSMUSG00000041912,ENSMUST00000196606,94320580,94341975
ENSMUSG00000041912,ENSMUST00000197495,94320580,94341975
ENSMUSG00000041912,ENSMUST00000045245,94320580,94341975
ENSMUSG00000028036,ENSMUST00000029670,151502139,151543267
ENSMUSG00000028036,ENSMUST00000106126,151502139,151543267
ENSMUSG00000028036,ENSMUST00000128349,151502139,151543267
ENSMUSG00000105403,ENSMUST00000197392,151542142,151545592
ENSMUSG00000106032,ENSMUST00000198041,94320708,94325593
ENSMUSG00000104909,ENSMUST00000196418,151592940,151600738
ENSMUSG00000087997,ENSMUST00000157372,151631985,151632046
ENSMUSG00000104756,ENSMUST00000198111,94328968,94329741
ENSMUSG00000104756,ENSMUST00000196717,94328968,94329741
ENSMUSG00000104770,ENSMUST00000198496,151664822,151665299
ENSMUSG00000104725,ENSMUST00000199226,151678439,151679145
ENSMUSG00000104659,ENSMUST00000197267,151694091,151697969
ENSMUSG00000105035,ENSMUST00000197505,151776883,151777438
ENSMUSG00000056900,ENSMUST00000072312,32871695,32992220
ENSMUSG00000056900,ENSMUST00000108228,32871695,32992220
ENSMUSG00000056900,ENSMUST00000172481,32871695,32992220
ENSMUSG00000056900,ENSMUST00000156769,32871695,32992220
ENSMUSG00000081883,ENSMUST00000119937,32934160,32934757
ENSMUSG00000104283,ENSMUST00000192259,32993463,33037450
ENSMUSG00000104283,ENSMUST00000195007,32993463,33037450
ENSMUSG00000027963,ENSMUST00000029575,115801111,115822666
ENSMUSG00000027963,ENSMUST00000106501,115801111,115822666
ENSMUSG00000027963,ENSMUST00000128228,115801111,115822666
ENSMUSG00000027963,ENSMUST00000145945,115801111,115822666
ENSMUSG00000027963,ENSMUST00000149920,115801111,115822666
ENSMUSG00000027963,ENSMUST00000106502,115801111,115822666
ENSMUSG00000119256,ENSMUST00000104553,115859437,115859568
ENSMUSG00000039131,ENSMUST00000152283,151799170,151871867
ENSMUSG00000039131,ENSMUST00000046614,151799170,151871867
ENSMUSG00000039131,ENSMUST00000128741,151799170,151871867
ENSMUSG00000039131,ENSMUST00000130196,151799170,151871867
ENSMUSG00000039131,ENSMUST00000152680,151799170,151871867
ENSMUSG00000039131,ENSMUST00000200501,151799170,151871867
ENSMUSG00000039131,ENSMUST00000133672,151799170,151871867
ENSMUSG00000039131,ENSMUST00000197813,151799170,151871867
ENSMUSG00000039131,ENSMUST00000133102,151799170,151871867
ENSMUSG00000028141,ENSMUST00000199318,94339721,94351222
ENSMUSG00000028141,ENSMUST00000204980,94339721,94351222
ENSMUSG00000028141,ENSMUST00000204913,94339721,94351222
ENSMUSG00000028141,ENSMUST00000199678,94339721,94351222
ENSMUSG00000028141,ENSMUST00000203883,94339721,94351222
ENSMUSG00000028141,ENSMUST00000204548,94339721,94351222
ENSMUSG00000028141,ENSMUST00000196799,94339721,94351222
ENSMUSG00000028141,ENSMUST00000191506,94339721,94351222
ENSMUSG00000105698,ENSMUST00000199455,151812076,151813020
ENSMUSG00000105698,ENSMUST00000198961,151812076,151813020
ENSMUSG00000084343,ENSMUST00000118766,151859084,151859753
ENSMUSG00000097293,ENSMUST00000181854,151871011,151872125
ENSMUSG00000028140,ENSMUST00000199009,94350625,94358437
ENSMUSG00000028140,ENSMUST00000029786,94350625,94358437
ENSMUSG00000028140,ENSMUST00000196143,94350625,94358437
