Gene stable ID,Transcript stable ID,Gene start (bp),Gene end (bp)
ENSG00000224918,ENST00000426697,53348,54346
ENSG00000288030,ENST00000656900,7241916,7250209
ENSG00000214074,ENST00000415533,1730070,1730474
ENSG00000234661,ENST00000417612,363370,385795
ENSG00000234661,ENST00000608098,363370,385795
ENSG00000229642,ENST00000425894,5962842,6124120
ENSG00000223727,ENST00000420000,3250687,3627296
ENSG00000223727,ENST00000451031,3250687,3627296
ENSG00000223727,ENST00000455703,3250687,3627296
ENSG00000244502,ENST00000424112,13476982,13480053
ENSG00000285969,ENST00000649475,14791534,14793504
ENSG00000154764,ENST00000285018,13816258,13880071
ENSG00000154764,ENST00000489346,13816258,13880071
ENSG00000154764,ENST00000497808,13816258,13880071
ENSG00000226238,ENST00000449613,17990023,17995544
ENSG00000134121,ENST00000256509,196763,409417
ENSG00000134121,ENST00000481167,196763,409417
ENSG00000134121,ENST00000397491,196763,409417
ENSG00000134121,ENST00000427688,196763,409417
ENSG00000134121,ENST00000421198,196763,409417
ENSG00000134121,ENST00000489224,196763,409417
ENSG00000134121,ENST00000453040,196763,409417
ENSG00000134121,ENST00000435603,196763,409417
ENSG00000134121,ENST00000486881,196763,409417
ENSG00000134121,ENST00000449294,196763,409417
ENSG00000134121,ENST00000461289,196763,409417
ENSG00000134121,ENST00000471332,196763,409417
ENSG00000134121,ENST00000470880,196763,409417
ENSG00000134121,ENST00000470005,196763,409417
ENSG00000134121,ENST00000445697,196763,409417
ENSG00000134121,ENST00000620033,196763,409417
ENSG00000182533,ENST00000343849,8733802,8841808
ENSG00000182533,ENST00000472766,8733802,8841808
ENSG00000182533,ENST00000397368,8733802,8841808
ENSG00000234048,ENST00000430879,28427963,28428444
ENSG00000213383,ENST00000393779,17871729,17872598
ENSG00000229756,ENST00000449593,24430748,24431107
ENSG00000227110,ENST00000441861,7951263,8611924
ENSG00000227110,ENST00000446281,7951263,8611924
ENSG00000227110,ENST00000452802,7951263,8611924
ENSG00000227110,ENST00000420095,7951263,8611924
ENSG00000227110,ENST00000455811,7951263,8611924
ENSG00000227110,ENST00000439407,7951263,8611924
ENSG00000227110,ENST00000458666,7951263,8611924
ENSG00000227110,ENST00000654635,7951263,8611924
ENSG00000227110,ENST00000659617,7951263,8611924
ENSG00000227110,ENST00000656911,7951263,8611924
ENSG00000144635,ENST00000273130,32525974,32570858
ENSG00000144635,ENST00000481915,32525974,32570858
ENSG00000144635,ENST00000432458,32525974,32570858
ENSG00000144635,ENST00000472985,32525974,32570858
ENSG00000144635,ENST00000413350,32525974,32570858
ENSG00000144635,ENST00000424991,32525974,32570858
ENSG00000144635,ENST00000475193,32525974,32570858
ENSG00000144635,ENST00000474077,32525974,32570858
ENSG00000235629,ENST00000424242,14648194,14649432
ENSG00000215004,ENST00000412333,29087396,29088599
ENSG00000228242,ENST00000420253,14144637,14165978
ENSG00000228242,ENST00000428681,14144637,14165978
ENSG00000228242,ENST00000628446,14144637,14165978
ENSG00000228242,ENST00000628785,14144637,14165978
ENSG00000228242,ENST00000628978,14144637,14165978
ENSG00000228242,ENST00000628412,14144637,14165978
ENSG00000228242,ENST00000629708,14144637,14165978
ENSG00000228242,ENST00000627997,14144637,14165978
ENSG00000228242,ENST00000630772,14144637,14165978
ENSG00000228242,ENST00000628760,14144637,14165978
ENSG00000228242,ENST00000629796,14144637,14165978
ENSG00000228242,ENST00000630173,14144637,14165978
ENSG00000228242,ENST00000629301,14144637,14165978
ENSG00000228242,ENST00000627116,14144637,14165978
ENSG00000228242,ENST00000626655,14144637,14165978
ENSG00000228242,ENST00000628791,14144637,14165978
ENSG00000228242,ENST00000627385,14144637,14165978
ENSG00000272282,ENST00000606069,27712910,27714005
ENSG00000287720,ENST00000661097,3918709,4046722
ENSG00000287720,ENST00000654218,3918709,4046722
ENSG00000287720,ENST00000658668,3918709,4046722
ENSG00000227498,ENST00000442567,34524818,34543880
ENSG00000237433,ENST00000443010,32190747,32191627
ENSG00000224080,ENST00000416536,37143512,37143958
ENSG00000238075,ENST00000432681,617789,618314
ENSG00000224858,ENST00000494408,37016523,37017014
ENSG00000157103,ENST00000646702,10992186,11039247
ENSG00000157103,ENST00000287766,10992186,11039247
ENSG00000157103,ENST00000642767,10992186,11039247
ENSG00000157103,ENST00000425938,10992186,11039247
ENSG00000157103,ENST00000645575,10992186,11039247
ENSG00000157103,ENST00000642515,10992186,11039247
ENSG00000157103,ENST00000643498,10992186,11039247
ENSG00000157103,ENST00000646072,10992186,11039247
ENSG00000157103,ENST00000646570,10992186,11039247
ENSG00000157103,ENST00000645281,10992186,11039247
ENSG00000157103,ENST00000642831,10992186,11039247
ENSG00000157103,ENST00000642820,10992186,11039247
ENSG00000157103,ENST00000645054,10992186,11039247
ENSG00000157103,ENST00000642735,10992186,11039247
ENSG00000157103,ENST00000646022,10992186,11039247
ENSG00000157103,ENST00000645776,10992186,11039247
ENSG00000157103,ENST00000646035,10992186,11039247
ENSG00000157103,ENST00000645592,10992186,11039247
ENSG00000157103,ENST00000646924,10992186,11039247
ENSG00000157103,ENST00000645974,10992186,11039247
ENSG00000157103,ENST00000644314,10992186,11039247
ENSG00000157103,ENST00000642639,10992186,11039247
ENSG00000157103,ENST00000646886,10992186,11039247
ENSG00000157103,ENST00000646060,10992186,11039247
ENSG00000157103,ENST00000462473,10992186,11039247
ENSG00000157103,ENST00000460480,10992186,11039247
ENSG00000157103,ENST00000642201,10992186,11039247
ENSG00000157103,ENST00000646487,10992186,11039247
ENSG00000157103,ENST00000647194,10992186,11039247
ENSG00000157103,ENST00000646088,10992186,11039247
ENSG00000157103,ENST00000643396,10992186,11039247
ENSG00000157103,ENST00000645029,10992186,11039247
ENSG00000157103,ENST00000644175,10992186,11039247
ENSG00000157103,ENST00000644803,10992186,11039247
ENSG00000157103,ENST00000647384,10992186,11039247
ENSG00000157103,ENST00000643326,10992186,11039247
ENSG00000157103,ENST00000645598,10992186,11039247
ENSG00000157103,ENST00000645985,10992186,11039247
ENSG00000157103,ENST00000642766,10992186,11039247
ENSG00000157103,ENST00000646836,10992186,11039247
ENSG00000157103,ENST00000495636,10992186,11039247
ENSG00000223899,ENST00000429534,33033863,33034810
ENSG00000230067,ENST00000388967,36767117,36784167
ENSG00000230067,ENST00000424886,36767117,36784167
ENSG00000231552,ENST00000447449,32620903,32621902
ENSG00000131379,ENST00000253697,14675141,14773036
ENSG00000131379,ENST00000435614,14675141,14773036
ENSG00000131379,ENST00000412910,14675141,14773036
ENSG00000131379,ENST00000495387,14675141,14773036
ENSG00000235534,ENST00000431896,34872641,34873854
ENSG00000271643,ENST00000604982,33793644,33798539
ENSG00000206559,ENST00000420223,28348721,28538122
ENSG00000206559,ENST00000383768,28348721,28538122
ENSG00000206559,ENST00000428875,28348721,28538122
